Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"3,220.50s",N/A,N/A,"161,025.00",900.00,Put,0.05s,N/A,"3,879",2.50
Call,"2,920.50s",N/A,N/A,"146,025.00","1,200.00",Put,0.05s,N/A,"7,928",2.50
Call,"2,790.50s",N/A,N/A,"139,525.00","1,330.00",Put,0.05s,N/A,"4,542",2.50
Call,"2,620.50s",N/A,N/A,"131,025.00","1,500.00",Put,0.05s,N/A,"7,218",2.50
Call,"2,520.50s",N/A,N/A,"126,025.00","1,600.00",Put,0.05s,N/A,"9,469",2.50
Call,"2,320.50s",N/A,N/A,"116,025.00","1,800.00",Put,0.05s,N/A,N/A,2.50
Call,"2,220.50s",N/A,N/A,"111,025.00","1,900.00",Put,0.05s,N/A,35,2.50
Call,"2,120.50s",N/A,250,"106,025.00","2,000.00",Put,0.05s,N/A,"4,883",2.50
Call,"2,020.50s",N/A,2,"101,025.00","2,100.00",Put,0.05s,1,"7,356",2.50
Call,"1,920.50s",N/A,150,"96,025.00","2,200.00",Put,0.05s,N/A,"9,895",2.50
Call,"1,820.50s",N/A,N/A,"91,025.00","2,300.00",Put,0.05s,2,"3,404",2.50
Call,"1,770.50s",N/A,N/A,"88,525.00","2,350.00",Put,0.05s,N/A,185,2.50
Call,"1,720.50s",N/A,N/A,"86,025.00","2,400.00",Put,0.05s,N/A,"9,387",2.50
Call,"1,670.50s",N/A,N/A,"83,525.00","2,450.00",Put,0.05s,N/A,599,2.50
Call,"1,620.50s",N/A,3,"81,025.00","2,500.00",Put,0.05s,N/A,"11,390",2.50
Call,"1,570.50s",N/A,250,"78,525.00","2,550.00",Put,0.05,4,"3,326",2.50
Call,"1,520.50s",N/A,704,"76,025.00","2,600.00",Put,0.10s,"4,515","8,211",5.00
Call,"1,470.50s",N/A,N/A,"73,525.00","2,650.00",Put,0.10s,150,"5,407",5.00
Call,"1,420.50s",N/A,N/A,"71,025.00","2,700.00",Put,0.10s,14,"5,260",5.00
Call,"1,370.50s",N/A,N/A,"68,525.00","2,750.00",Put,0.10s,151,"3,028",5.00
Call,"1,320.50s",N/A,28,"66,025.00","2,800.00",Put,0.10,100,"15,757",5.00
Call,"1,270.50s",N/A,N/A,"63,525.00","2,850.00",Put,0.15s,6,"2,466",7.50
Call,"1,220.50s",N/A,N/A,"61,025.00","2,900.00",Put,0.20,20,"6,085",10.00
Call,"1,190.50s",N/A,N/A,"59,525.00","2,930.00",Put,0.15s,N/A,485,7.50
Call,"1,180.50s",N/A,N/A,"59,025.00","2,940.00",Put,0.15s,N/A,514,7.50
Call,"1,170.50s",N/A,N/A,"58,525.00","2,950.00",Put,0.20s,1,"2,825",10.00
Call,"1,160.50s",N/A,N/A,"58,025.00","2,960.00",Put,0.20s,N/A,211,10.00
Call,"1,150.50s",N/A,N/A,"57,525.00","2,970.00",Put,0.20s,184,146,10.00
Call,"1,140.50s",N/A,N/A,"57,025.00","2,980.00",Put,0.20s,5,"1,699",10.00
Call,"1,130.50s",N/A,N/A,"56,525.00","2,990.00",Put,0.20s,7,700,10.00
Call,"1,120.50s",N/A,202,"56,025.00","3,000.00",Put,0.20s,15,"9,638",10.00
Call,"1,110.50s",N/A,N/A,"55,525.00","3,010.00",Put,0.20,5,693,10.00
Call,"1,100.50s",N/A,N/A,"55,025.00","3,020.00",Put,0.15,100,"2,002",7.50
Call,"1,090.50s",N/A,N/A,"54,525.00","3,030.00",Put,0.20s,2,354,10.00
Call,"1,080.50s",N/A,N/A,"54,025.00","3,040.00",Put,0.20s,90,577,10.00
Call,"1,070.50s",N/A,12,"53,525.00","3,050.00",Put,0.25s,N/A,"2,329",12.50
Call,"1,060.50s",N/A,N/A,"53,025.00","3,060.00",Put,0.25s,1,976,12.50
Call,"1,050.50s",N/A,N/A,"52,525.00","3,070.00",Put,0.25s,178,604,12.50
Call,"1,040.75s",1,1,"52,037.50","3,080.00",Put,0.25s,N/A,485,12.50
Call,"1,030.75s",N/A,N/A,"51,537.50","3,090.00",Put,0.25s,30,672,12.50
Call,"1,020.75s",N/A,34,"51,037.50","3,100.00",Put,0.25s,574,"10,922",12.50
Call,"1,010.75s",N/A,N/A,"50,537.50","3,110.00",Put,0.25s,424,"1,267",12.50
Call,"1,000.75s",N/A,N/A,"50,037.50","3,120.00",Put,0.30s,2,"1,971",15.00
Call,990.75s,N/A,N/A,"49,537.50","3,130.00",Put,0.30s,6,"2,000",15.00
Call,980.75s,N/A,N/A,"49,037.50","3,140.00",Put,0.30s,5,"1,964",15.00
Call,970.75s,N/A,23,"48,537.50","3,150.00",Put,0.30s,"2,062","7,101",15.00
Call,960.75s,N/A,N/A,"48,037.50","3,160.00",Put,0.30s,194,"2,314",15.00
Call,950.75s,N/A,N/A,"47,537.50","3,170.00",Put,0.25,666,"3,786",12.50
Call,940.75s,N/A,N/A,"47,037.50","3,180.00",Put,0.25,286,560,12.50
Call,930.75s,N/A,N/A,"46,537.50","3,190.00",Put,0.30,338,"2,046",15.00
Call,920.75s,N/A,32,"46,037.50","3,200.00",Put,0.30,1,"21,627",15.00
Call,910.75s,N/A,1,"45,537.50","3,210.00",Put,0.25,318,906,12.50
Call,900.75s,N/A,N/A,"45,037.50","3,220.00",Put,0.35,450,"1,700",17.50
Call,890.75s,N/A,N/A,"44,537.50","3,230.00",Put,0.40,1,"2,899",20.00
Call,880.75s,N/A,N/A,"44,037.50","3,240.00",Put,0.40s,1,"1,284",20.00
Call,870.75s,N/A,20,"43,537.50","3,250.00",Put,0.40,4,"4,128",20.00
Call,860.75s,N/A,1,"43,037.50","3,260.00",Put,0.40s,2,"1,163",20.00
Call,850.75s,N/A,N/A,"42,537.50","3,270.00",Put,0.40,1,"2,083",20.00
Call,840.75s,N/A,N/A,"42,037.50","3,280.00",Put,0.45s,132,"1,637",22.50
Call,830.75s,N/A,N/A,"41,537.50","3,290.00",Put,0.45s,5,832,22.50
Call,820.75s,N/A,93,"41,037.50","3,300.00",Put,0.45,2,"9,452",22.50
Call,810.75s,N/A,N/A,"40,537.50","3,310.00",Put,0.50s,23,"1,573",25.00
Call,806.00s,N/A,N/A,"40,300.00","3,315.00",Put,0.50s,1,39,25.00
Call,801.00s,N/A,N/A,"40,050.00","3,320.00",Put,0.50s,2,"1,301",25.00
Call,796.00s,N/A,N/A,"39,800.00","3,325.00",Put,0.50s,1,318,25.00
Call,791.00s,N/A,N/A,"39,550.00","3,330.00",Put,0.50s,1,"1,988",25.00
Call,786.00s,N/A,N/A,"39,300.00","3,335.00",Put,0.55s,110,474,27.50
Call,781.00s,N/A,N/A,"39,050.00","3,340.00",Put,0.55s,1,"1,254",27.50
