Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"3,115.50s",N/A,N/A,"155,775.00","8,000.00",Put,0.05s,N/A,N/A,2.50
Call,"3,015.50s",N/A,N/A,"150,775.00","9,000.00",Put,0.05s,N/A,N/A,2.50
Call,"2,915.50s",N/A,N/A,"145,775.00","10,000.00",Put,0.05s,1,1,2.50
Call,"2,815.50s",N/A,N/A,"140,775.00","11,000.00",Put,0.05s,N/A,N/A,2.50
Call,"2,715.50s",N/A,N/A,"135,775.00","12,000.00",Put,0.05s,N/A,N/A,2.50
Call,"2,615.50s",N/A,N/A,"130,775.00","1,300.00",Put,0.05s,N/A,3,2.50
Call,"2,515.75s",N/A,N/A,"125,787.50","1,400.00",Put,0.05s,N/A,N/A,2.50
Call,"2,415.75s",N/A,N/A,"120,787.50","1,500.00",Put,0.05s,N/A,N/A,2.50
Call,"2,315.75s",N/A,N/A,"115,787.50","1,600.00",Put,0.05s,N/A,N/A,2.50
Call,"2,215.75s",N/A,N/A,"110,787.50","1,700.00",Put,0.05s,N/A,N/A,2.50
Call,"2,115.75s",N/A,N/A,"105,787.50","1,800.00",Put,0.05s,N/A,24,2.50
Call,"2,015.75s",N/A,N/A,"100,787.50","1,900.00",Put,0.05s,N/A,401,2.50
Call,"1,915.75s",N/A,N/A,"95,787.50","2,000.00",Put,0.05s,N/A,"1,382",2.50
Call,"1,815.75s",N/A,302,"90,787.50","2,100.00",Put,0.05s,N/A,"2,236",2.50
Call,"1,715.75s",N/A,41,"85,787.50","2,200.00",Put,0.05s,N/A,"1,462",2.50
Call,"1,665.75s",N/A,N/A,"83,287.50","2,250.00",Put,0.05s,N/A,N/A,2.50
Call,"1,615.75s",N/A,228,"80,787.50","2,300.00",Put,0.05s,N/A,"2,743",2.50
Call,"1,565.75s",N/A,N/A,"78,287.50","2,350.00",Put,0.05s,N/A,456,2.50
Call,"1,516.00s",N/A,53,"75,800.00","2,400.00",Put,0.05s,N/A,"2,225",2.50
Call,"1,466.00s",N/A,N/A,"73,300.00","2,450.00",Put,0.05s,N/A,301,2.50
Call,"1,416.00s",N/A,76,"70,800.00","2,500.00",Put,0.05s,4,"9,192",2.50
