Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"3,916.25",N/A,254,"195,812.50",100.00,Put,0.05s,N/A,253,2.50
Call,"2,116.25s",N/A,N/A,"105,812.50","1,900.00",Put,0.05s,N/A,60,2.50
Call,"2,016.25s",N/A,N/A,"100,812.50","2,000.00",Put,0.05s,N/A,182,2.50
Call,"1,916.25s",N/A,253,"95,812.50","2,100.00",Put,0.05s,N/A,473,2.50
Call,"1,816.25s",N/A,N/A,"90,812.50","2,200.00",Put,0.05s,N/A,293,2.50
Call,"1,716.25s",N/A,N/A,"85,812.50","2,300.00",Put,0.05s,N/A,621,2.50
Call,"1,666.25s",N/A,N/A,"83,312.50","2,350.00",Put,0.05s,N/A,30,2.50
Call,"1,616.25s",N/A,N/A,"80,812.50","2,400.00",Put,0.05s,N/A,693,2.50
Call,"1,566.25s",N/A,N/A,"78,312.50","2,450.00",Put,0.05s,N/A,703,2.50
Call,"1,516.25s",N/A,N/A,"75,812.50","2,500.00",Put,0.05s,N/A,237,2.50
Call,"1,466.25s",N/A,N/A,"73,312.50","2,550.00",Put,0.05s,N/A,520,2.50
Call,"1,416.25s",N/A,N/A,"70,812.50","2,600.00",Put,0.05s,N/A,774,2.50
Call,"1,366.25s",N/A,N/A,"68,312.50","2,650.00",Put,0.05s,N/A,391,2.50
Call,"1,316.25s",N/A,N/A,"65,812.50","2,700.00",Put,0.05s,N/A,401,2.50
Call,"1,266.25s",N/A,N/A,"63,312.50","2,750.00",Put,0.05s,N/A,120,2.50
Call,"1,216.25s",N/A,N/A,"60,812.50","2,800.00",Put,0.05s,N/A,801,2.50
Call,"1,166.25s",N/A,N/A,"58,312.50","2,850.00",Put,0.05s,N/A,972,2.50
Call,"1,116.25s",N/A,N/A,"55,812.50","2,900.00",Put,0.05s,N/A,144,2.50
Call,"1,086.25s",N/A,N/A,"54,312.50","2,930.00",Put,0.05s,N/A,124,2.50
Call,"1,076.25s",N/A,N/A,"53,812.50","2,940.00",Put,0.05s,N/A,32,2.50
Call,"1,066.25s",N/A,N/A,"53,312.50","2,950.00",Put,0.05s,N/A,649,2.50
Call,"1,056.25s",N/A,N/A,"52,812.50","2,960.00",Put,0.05s,N/A,4,2.50
Call,"1,046.25s",N/A,N/A,"52,312.50","2,970.00",Put,0.05s,N/A,1,2.50
Call,"1,036.25s",N/A,N/A,"51,812.50","2,980.00",Put,0.05s,N/A,30,2.50
Call,"1,026.25s",N/A,N/A,"51,312.50","2,990.00",Put,0.05s,N/A,28,2.50
Call,"1,016.25s",N/A,N/A,"50,812.50","3,000.00",Put,0.05s,N/A,"29,912",2.50
Call,"1,006.25s",N/A,N/A,"50,312.50","3,010.00",Put,0.05s,N/A,62,2.50
Call,996.25s,N/A,N/A,"49,812.50","3,020.00",Put,0.05s,N/A,65,2.50
Call,986.25s,N/A,N/A,"49,312.50","3,030.00",Put,0.05s,N/A,3,2.50
Call,976.25s,N/A,N/A,"48,812.50","3,040.00",Put,0.05s,N/A,188,2.50
Call,966.25s,N/A,N/A,"48,312.50","3,050.00",Put,0.05s,N/A,"1,011",2.50
Call,956.25s,N/A,N/A,"47,812.50","3,060.00",Put,0.05s,N/A,13,2.50
Call,946.25s,N/A,N/A,"47,312.50","3,070.00",Put,0.05s,N/A,12,2.50
Call,936.25s,N/A,N/A,"46,812.50","3,080.00",Put,0.05s,N/A,493,2.50
Call,926.25s,N/A,N/A,"46,312.50","3,090.00",Put,0.05s,N/A,"5,196",2.50
