Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"2,893.50s",N/A,N/A,"144,675.00",900.00,Put,0.50s,4,"8,496",25.00
Call,"2,793.50s",N/A,N/A,"139,675.00","1,000.00",Put,0.70s,N/A,"1,153",35.00
Call,"2,693.50s",N/A,N/A,"134,675.00","1,100.00",Put,0.95,1,422,47.50
Call,"2,593.50s",N/A,N/A,"129,675.00","1,200.00",Put,1.10s,1,"2,271",55.00
Call,"2,493.50s",N/A,N/A,"124,675.00","1,300.00",Put,1.40s,6,"3,328",70.00
Call,"2,393.50s",N/A,N/A,"119,675.00","1,400.00",Put,1.70s,15,"1,882",85.00
Call,"2,293.50s",N/A,N/A,"114,675.00","1,500.00",Put,2.10s,2,396,105.00
Call,"2,193.50s",N/A,N/A,"109,675.00","1,600.00",Put,2.95,2,"6,648",147.50
Call,"2,093.75s",N/A,N/A,"104,687.50","1,700.00",Put,3.25,1,"7,889",162.50
Call,"1,994.00s",N/A,1,"99,700.00","1,800.00",Put,4.00,1,"3,724",200.00
Call,"1,894.50s",N/A,1,"94,725.00","1,900.00",Put,5.00,2,"2,201",250.00
Call,"1,795.25s",10,21,"89,762.50","2,000.00",Put,6.25,12,"2,326",312.50
Call,"1,696.00s",N/A,225,"84,800.00","2,100.00",Put,6.25s,154,"4,030",312.50
Call,"1,597.00s",N/A,361,"79,850.00","2,200.00",Put,8.00,1,"3,103",400.00
Call,"1,547.50s",N/A,N/A,"77,375.00","2,250.00",Put,7.75s,150,150,387.50
Call,"1,498.25s",N/A,N/A,"74,912.50","2,300.00",Put,8.50s,9,"2,420",425.00
Call,"1,449.00s",N/A,N/A,"72,450.00","2,350.00",Put,9.00s,2,598,450.00
Call,"1,399.75s",N/A,138,"69,987.50","2,400.00",Put,9.75s,11,"4,490",487.50
Call,"1,350.50s",N/A,N/A,"67,525.00","2,450.00",Put,10.75s,27,566,537.50
Call,"1,301.50s",N/A,"1,825","65,075.00","2,500.00",Put,14.00,19,"3,650",700.00
Call,"1,252.50s",N/A,2,"62,625.00","2,550.00",Put,12.50s,N/A,"2,527",625.00
Call,"1,203.50s",N/A,N/A,"60,175.00","2,600.00",Put,13.50s,274,"3,958",675.00
Call,"1,154.75s",N/A,N/A,"57,737.50","2,650.00",Put,14.75s,142,"1,936",737.50
Call,"1,106.25s",N/A,N/A,"55,312.50","2,700.00",Put,18.00,22,"3,204",900.00
Call,"1,058.00s",N/A,1,"52,900.00","2,750.00",Put,17.50s,85,"2,022",875.00
Call,"1,009.75s",N/A,23,"50,487.50","2,800.00",Put,20.00,4,"2,829","1,000.00"
Call,"1,000.25s",N/A,N/A,"50,012.50","2,810.00",Put,19.75s,108,108,987.50
Call,990.50s,N/A,N/A,"49,525.00","2,820.00",Put,20.00s,N/A,N/A,"1,000.00"
