Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"3,822.50s",748,"2,499","191,125.00","10,000.00",Call,"2,922.75s",N/A,749,"146,137.50"
Call,"3,122.75s",N/A,N/A,"156,137.50","8,000.00",Put,0.05s,N/A,N/A,2.50
Call,"3,022.75s",N/A,243,"151,137.50","9,000.00",Put,0.05s,N/A,N/A,2.50
Call,"2,822.75s",N/A,N/A,"141,137.50","11,000.00",Put,0.05s,N/A,427,2.50
Call,"2,722.75s",N/A,N/A,"136,137.50","12,000.00",Put,0.05s,N/A,2,2.50
Call,"2,622.75s",N/A,N/A,"131,137.50","1,300.00",Put,0.05s,N/A,464,2.50
Call,"2,522.75s",N/A,N/A,"126,137.50","1,400.00",Put,0.05s,N/A,1,2.50
Call,"2,422.75s",N/A,N/A,"121,137.50","1,500.00",Put,0.05s,N/A,168,2.50
Call,"2,322.75s",N/A,N/A,"116,137.50","1,600.00",Put,0.05s,N/A,283,2.50
Call,"2,222.75s",N/A,N/A,"111,137.50","1,700.00",Put,0.05s,N/A,578,2.50
Call,"2,122.75s",N/A,N/A,"106,137.50","1,800.00",Put,0.05s,N/A,486,2.50
Call,"2,022.75s",N/A,N/A,"101,137.50","1,900.00",Put,0.05s,N/A,746,2.50
Call,"1,923.00s",N/A,163,"96,150.00","2,000.00",Put,0.05s,N/A,"3,443",2.50
Call,"1,823.00s",N/A,2,"91,150.00","2,100.00",Put,0.05s,N/A,"2,792",2.50
Call,"1,723.00s",N/A,35,"86,150.00","2,200.00",Put,0.05s,N/A,"3,044",2.50
Call,"1,673.00s",N/A,N/A,"83,650.00","2,250.00",Put,0.05s,N/A,830,2.50
Call,"1,623.00s",N/A,N/A,"81,150.00","2,300.00",Put,0.05s,N/A,"2,652",2.50
Call,"1,573.00s",N/A,N/A,"78,650.00","2,350.00",Put,0.05s,N/A,676,2.50
Call,"1,523.00s",748,"2,505","76,150.00","2,400.00",Put,0.05s,N/A,"3,114",2.50
Call,"1,473.00s",N/A,N/A,"73,650.00","2,450.00",Put,0.05s,N/A,"1,597",2.50
Call,"1,423.00s",N/A,N/A,"71,150.00","2,500.00",Put,0.05s,N/A,"2,429",2.50
Call,"1,373.00s",N/A,N/A,"68,650.00","2,550.00",Put,0.05s,N/A,"1,068",2.50
Call,"1,323.00s",N/A,N/A,"66,150.00","2,600.00",Put,0.05s,N/A,"3,136",2.50
Call,"1,273.00s",N/A,N/A,"63,650.00","2,650.00",Put,0.05s,N/A,756,2.50
Call,"1,223.00s",N/A,N/A,"61,150.00","2,700.00",Put,0.05,7,"3,382",2.50
Call,"1,173.00s",N/A,N/A,"58,650.00","2,750.00",Put,0.05s,N/A,"1,159",2.50
Call,"1,163.00s",N/A,N/A,"58,150.00","2,760.00",Put,0.05s,N/A,403,2.50
Call,"1,153.00s",N/A,N/A,"57,650.00","2,770.00",Put,0.05s,N/A,39,2.50
Call,"1,143.00s",N/A,N/A,"57,150.00","2,780.00",Put,0.05s,N/A,268,2.50
Call,"1,133.00s",N/A,N/A,"56,650.00","2,790.00",Put,0.05s,N/A,118,2.50
Call,"1,123.00s",N/A,N/A,"56,150.00","2,800.00",Put,0.05s,3,"3,629",2.50
Call,"1,113.00s",N/A,N/A,"55,650.00","2,810.00",Put,0.05s,N/A,784,2.50
Call,"1,103.00s",N/A,N/A,"55,150.00","2,820.00",Put,0.05s,N/A,998,2.50
Call,"1,093.00s",N/A,N/A,"54,650.00","2,830.00",Put,0.05s,N/A,175,2.50
Call,"1,083.00s",N/A,N/A,"54,150.00","2,840.00",Put,0.05s,N/A,359,2.50
Call,"1,073.00s",N/A,N/A,"53,650.00","2,850.00",Put,0.05s,N/A,"1,975",2.50
Call,"1,063.00s",N/A,N/A,"53,150.00","2,860.00",Put,0.05s,N/A,753,2.50
Call,"1,053.00s",N/A,N/A,"52,650.00","2,870.00",Put,0.05s,N/A,716,2.50
Call,"1,043.00s",N/A,N/A,"52,150.00","2,880.00",Put,0.05s,N/A,865,2.50
Call,"1,033.00s",N/A,N/A,"51,650.00","2,890.00",Put,0.05s,N/A,555,2.50
Call,"1,023.00s",N/A,1,"51,150.00","2,900.00",Put,0.05s,N/A,"1,761",2.50
Call,"1,013.00s",N/A,N/A,"50,650.00","2,910.00",Put,0.05s,N/A,577,2.50
Call,"1,003.00s",N/A,N/A,"50,150.00","2,920.00",Put,0.05s,N/A,881,2.50
Call,993.00s,N/A,N/A,"49,650.00","2,930.00",Put,0.05s,N/A,"1,445",2.50
Call,983.00s,N/A,N/A,"49,150.00","2,940.00",Put,0.05s,N/A,570,2.50
Call,973.00s,N/A,N/A,"48,650.00","2,950.00",Put,0.05s,N/A,"1,352",2.50
Call,963.00s,N/A,N/A,"48,150.00","2,960.00",Put,0.05s,N/A,634,2.50
Call,953.00s,N/A,N/A,"47,650.00","2,970.00",Put,0.05s,N/A,812,2.50
Call,943.00s,N/A,N/A,"47,150.00","2,980.00",Put,0.05s,N/A,534,2.50
Call,933.00s,N/A,N/A,"46,650.00","2,990.00",Put,0.05s,N/A,456,2.50
Call,923.00s,N/A,3,"46,150.00","3,000.00",Put,0.05s,N/A,"6,436",2.50
Call,913.00s,N/A,N/A,"45,650.00","3,010.00",Put,0.05s,N/A,642,2.50
Call,903.00s,N/A,N/A,"45,150.00","3,020.00",Put,0.05s,N/A,"1,320",2.50
Call,893.00s,N/A,N/A,"44,650.00","3,030.00",Put,0.05s,N/A,"1,050",2.50
