Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"4,055.75",5,"1,581","202,787.50",100.00,Put,0.05s,N/A,N/A,2.50
Call,"3,355.75s",N/A,N/A,"167,787.50",800.00,Put,0.05s,N/A,N/A,2.50
Call,"2,956.00s",N/A,N/A,"147,800.00","1,200.00",Put,0.05s,N/A,N/A,2.50
Call,"2,456.00s",N/A,N/A,"122,800.00","1,700.00",Put,0.05s,N/A,N/A,2.50
Call,"2,356.00s",N/A,N/A,"117,800.00","1,800.00",Put,0.05s,N/A,N/A,2.50
Call,"2,256.00s",N/A,1,"112,800.00","1,900.00",Put,0.05s,N/A,30,2.50
Call,"2,156.00s",N/A,N/A,"107,800.00","2,000.00",Put,0.05s,N/A,180,2.50
Call,"2,056.00s",N/A,N/A,"102,800.00","2,100.00",Put,0.05s,N/A,171,2.50
Call,"1,956.00s",N/A,N/A,"97,800.00","2,200.00",Put,0.05s,N/A,"1,250",2.50
Call,"1,856.00s",N/A,N/A,"92,800.00","2,300.00",Put,0.05s,N/A,25,2.50
Call,"1,806.00s",N/A,N/A,"90,300.00","2,350.00",Put,0.05s,N/A,43,2.50
Call,"1,756.00s",5,"1,380","87,800.00","2,400.00",Put,0.05s,N/A,277,2.50
Call,"1,706.00s",N/A,N/A,"85,300.00","2,450.00",Put,0.05s,N/A,107,2.50
Call,"1,656.00s",N/A,N/A,"82,800.00","2,500.00",Put,0.05s,N/A,"1,491",2.50
Call,"1,606.00s",N/A,N/A,"80,300.00","2,550.00",Put,0.05s,N/A,131,2.50
Call,"1,556.00s",N/A,N/A,"77,800.00","2,600.00",Put,0.05s,N/A,23,2.50
Call,"1,506.00s",N/A,N/A,"75,300.00","2,650.00",Put,0.05s,N/A,390,2.50
Call,"1,456.00s",N/A,N/A,"72,800.00","2,700.00",Put,0.05s,N/A,"3,879",2.50
Call,"1,406.00s",N/A,N/A,"70,300.00","2,750.00",Put,0.05s,N/A,"1,189",2.50
Call,"1,356.00s",N/A,N/A,"67,800.00","2,800.00",Put,0.05s,N/A,"1,054",2.50
Call,"1,306.00s",N/A,N/A,"65,300.00","2,850.00",Put,0.05s,N/A,227,2.50
Call,"1,296.00s",N/A,N/A,"64,800.00","2,860.00",Put,0.05s,N/A,183,2.50
Call,"1,286.00s",N/A,N/A,"64,300.00","2,870.00",Put,0.05s,N/A,2,2.50
Call,"1,276.00s",N/A,N/A,"63,800.00","2,880.00",Put,0.05s,N/A,2,2.50
Call,"1,266.00s",N/A,N/A,"63,300.00","2,890.00",Put,0.05s,N/A,178,2.50
Call,"1,256.00s",N/A,N/A,"62,800.00","2,900.00",Put,0.05s,4,912,2.50
Call,"1,246.00s",N/A,N/A,"62,300.00","2,910.00",Put,0.05s,N/A,176,2.50
Call,"1,236.00s",N/A,N/A,"61,800.00","2,920.00",Put,0.05s,N/A,44,2.50
Call,"1,226.00s",N/A,N/A,"61,300.00","2,930.00",Put,0.05s,N/A,5,2.50
Call,"1,216.00s",N/A,N/A,"60,800.00","2,940.00",Put,0.05s,N/A,714,2.50
Call,"1,206.00s",N/A,N/A,"60,300.00","2,950.00",Put,0.05s,N/A,"1,204",2.50
Call,"1,196.00s",N/A,N/A,"59,800.00","2,960.00",Put,0.05s,N/A,172,2.50
Call,"1,186.00s",N/A,N/A,"59,300.00","2,970.00",Put,0.05s,N/A,95,2.50
Call,"1,176.00s",N/A,N/A,"58,800.00","2,980.00",Put,0.05s,N/A,143,2.50
Call,"1,166.00s",N/A,N/A,"58,300.00","2,990.00",Put,0.05s,N/A,257,2.50
Call,"1,156.00s",N/A,N/A,"57,800.00","3,000.00",Put,0.05s,N/A,"13,268",2.50
Call,"1,146.00s",N/A,N/A,"57,300.00","3,010.00",Put,0.05s,N/A,42,2.50
Call,"1,136.00s",N/A,N/A,"56,800.00","3,020.00",Put,0.05s,N/A,181,2.50
Call,"1,126.00s",N/A,N/A,"56,300.00","3,030.00",Put,0.05s,N/A,586,2.50
Call,"1,116.00s",N/A,N/A,"55,800.00","3,040.00",Put,0.05s,N/A,26,2.50
Call,"1,106.00s",N/A,N/A,"55,300.00","3,050.00",Put,0.05s,N/A,179,2.50
Call,"1,096.00s",N/A,N/A,"54,800.00","3,060.00",Put,0.05s,N/A,298,2.50
Call,"1,086.00s",N/A,N/A,"54,300.00","3,070.00",Put,0.05s,N/A,894,2.50
