Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"3,065.00s",N/A,196,"153,250.00",900.00,Put,0.05s,50,"9,513",2.50
Call,"2,965.00s",N/A,N/A,"148,250.00","1,000.00",Put,0.05s,N/A,"1,752",2.50
Call,"2,865.00s",N/A,N/A,"143,250.00","1,100.00",Put,0.10s,1,574,5.00
Call,"2,765.00s",N/A,N/A,"138,250.00","1,200.00",Put,0.10s,5,"4,854",5.00
Call,"2,665.00s",N/A,N/A,"133,250.00","1,300.00",Put,0.10s,N/A,"9,083",5.00
Call,"2,565.00s",135,57,"128,250.00","1,400.00",Put,0.15s,N/A,"1,166",7.50
Call,"2,465.00s",N/A,N/A,"123,250.00","1,500.00",Put,0.20s,4,"3,517",10.00
Call,"2,365.00s",N/A,N/A,"118,250.00","1,600.00",Put,0.25s,2,"5,790",12.50
Call,"2,265.00s",N/A,15,"113,250.00","1,700.00",Put,0.30s,300,"3,549",15.00
Call,"2,165.00s",N/A,1,"108,250.00","1,800.00",Put,0.35s,240,"6,037",17.50
Call,"2,065.00s",N/A,1,"103,250.00","1,900.00",Put,0.45s,6,"5,121",22.50
Call,"1,965.00s",540,14,"98,250.00","2,000.00",Put,0.55s,145,"7,076",27.50
Call,"1,865.00s",135,72,"93,250.00","2,100.00",Put,0.70s,12,"7,307",35.00
Call,"1,765.00s",135,108,"88,250.00","2,200.00",Put,0.90s,13,"7,146",45.00
Call,"1,715.00s",N/A,N/A,"85,750.00","2,250.00",Put,1.00s,13,"3,301",50.00
Call,"1,665.00s",135,107,"83,250.00","2,300.00",Put,1.15s,1,"12,141",57.50
Call,"1,615.00s",N/A,N/A,"80,750.00","2,350.00",Put,1.25s,23,"1,790",62.50
Call,"1,565.00s",N/A,138,"78,250.00","2,400.00",Put,1.45,9,"9,774",72.50
Call,"1,515.00s",N/A,N/A,"75,750.00","2,450.00",Put,1.55s,11,"1,332",77.50
Call,"1,465.25s",N/A,"2,861","73,262.50","2,500.00",Put,1.70,12,"11,215",85.00
Call,"1,415.25s",N/A,2,"70,762.50","2,550.00",Put,2.15,7,"3,056",107.50
Call,"1,365.50s",N/A,587,"68,275.00","2,600.00",Put,2.35,3,"6,883",117.50
Call,"1,315.75s",N/A,N/A,"65,787.50","2,650.00",Put,2.65,2,"3,081",132.50
Call,"1,266.00s",N/A,N/A,"63,300.00","2,700.00",Put,2.75,8,"5,266",137.50
Call,"1,216.25s",N/A,1,"60,812.50","2,750.00",Put,3.15,3,"2,794",157.50
Call,"1,206.25s",N/A,N/A,"60,312.50","2,760.00",Put,3.05s,87,359,152.50
Call,"1,196.25s",N/A,N/A,"59,812.50","2,770.00",Put,3.15s,245,425,157.50
Call,"1,186.25s",N/A,N/A,"59,312.50","2,780.00",Put,3.35,9,660,167.50
Call,"1,176.50s",N/A,N/A,"58,825.00","2,790.00",Put,3.25s,N/A,462,162.50
Call,"1,166.50s",N/A,23,"58,325.00","2,800.00",Put,3.50,5,"6,135",175.00
Call,"1,156.50s",N/A,N/A,"57,825.00","2,810.00",Put,3.50,3,"1,395",175.00
Call,"1,146.50s",N/A,N/A,"57,325.00","2,820.00",Put,3.50s,301,784,175.00
Call,"1,136.75s",N/A,N/A,"56,837.50","2,830.00",Put,3.55s,5,781,177.50
Call,"1,126.75s",N/A,N/A,"56,337.50","2,840.00",Put,3.65s,18,"1,393",182.50
Call,"1,116.75s",5,5,"55,837.50","2,850.00",Put,3.90,18,"5,215",195.00
Call,"1,107.00s",N/A,N/A,"55,350.00","2,860.00",Put,3.80s,59,731,190.00
Call,"1,097.00s",N/A,N/A,"54,850.00","2,870.00",Put,3.95,7,502,197.50
Call,"1,087.00s",N/A,N/A,"54,350.00","2,880.00",Put,3.95s,1,"1,578",197.50
Call,"1,077.25s",N/A,N/A,"53,862.50","2,890.00",Put,3.95,6,"2,987",197.50
Call,"1,067.25s",N/A,50,"53,362.50","2,900.00",Put,4.15s,372,"3,544",207.50
Call,"1,057.25s",N/A,N/A,"52,862.50","2,910.00",Put,4.20s,5,"1,980",210.00
Call,"1,047.50s",N/A,N/A,"52,375.00","2,920.00",Put,4.30s,137,180,215.00
Call,"1,037.50s",N/A,N/A,"51,875.00","2,930.00",Put,4.40s,122,"1,114",220.00
Call,"1,027.75s",N/A,N/A,"51,387.50","2,940.00",Put,4.50s,1,297,225.00
Call,"1,017.75s",N/A,N/A,"50,887.50","2,950.00",Put,4.60,2,"2,668",230.00
Call,"1,008.00s",N/A,N/A,"50,400.00","2,960.00",Put,4.70s,60,628,235.00
Call,998.00s,N/A,N/A,"49,900.00","2,970.00",Put,4.90,1,"1,177",245.00
Call,988.00s,N/A,N/A,"49,400.00","2,980.00",Put,4.95s,800,"1,784",247.50
Call,978.25s,N/A,N/A,"48,912.50","2,990.00",Put,5.25,3,723,262.50
Call,968.25s,N/A,"2,937","48,412.50","3,000.00",Put,5.25,101,"17,341",262.50
Call,958.50s,N/A,N/A,"47,925.00","3,010.00",Put,5.50,1,678,275.00
Call,948.75s,N/A,N/A,"47,437.50","3,020.00",Put,5.75,1,842,287.50
Call,938.75s,N/A,N/A,"46,937.50","3,030.00",Put,5.75,1,"1,216",287.50
Call,929.00s,N/A,N/A,"46,450.00","3,040.00",Put,5.75s,13,"1,602",287.50
Call,919.00s,N/A,16,"45,950.00","3,050.00",Put,6.00,1,"6,659",300.00
Call,909.25s,N/A,N/A,"45,462.50","3,060.00",Put,6.00,5,"1,597",300.00
Call,899.50s,N/A,N/A,"44,975.00","3,070.00",Put,6.25s,128,995,312.50
Call,889.50s,N/A,N/A,"44,475.00","3,080.00",Put,6.50,1,791,325.00
Call,879.75s,N/A,N/A,"43,987.50","3,090.00",Put,6.75,2,"2,200",337.50
Call,870.00s,N/A,560,"43,500.00","3,100.00",Put,6.75,3,"8,831",337.50
Call,860.25s,N/A,N/A,"43,012.50","3,110.00",Put,7.00,3,"1,512",350.00
Call,850.25s,N/A,N/A,"42,512.50","3,120.00",Put,7.00,3,636,350.00
Call,840.50s,N/A,13,"42,025.00","3,130.00",Put,7.25,3,805,362.50
Call,830.75s,N/A,1,"41,537.50","3,140.00",Put,7.50s,74,856,375.00
Call,821.00s,N/A,"3,248","41,050.00","3,150.00",Put,8.00,219,"7,622",400.00
Call,811.25s,N/A,N/A,"40,562.50","3,160.00",Put,8.00s,85,"1,452",400.00
Call,801.50s,N/A,N/A,"40,075.00","3,170.00",Put,8.25s,161,807,412.50
Call,791.75s,N/A,N/A,"39,587.50","3,180.00",Put,8.75,1,512,437.50
Call,782.00s,4,2,"39,100.00","3,190.00",Put,9.00,1,744,450.00
