Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"4,045.50s",N/A,528,"202,275.00","10,000.00",Call,"3,147.00s",N/A,1,"157,350.00"
Call,"3,446.50s",N/A,65,"172,325.00","7,000.00",Put,0.05s,N/A,N/A,2.50
Call,"3,346.50s",N/A,950,"167,325.00","8,000.00",Put,0.05s,N/A,2,2.50
Call,"3,246.75s",N/A,720,"162,337.50","9,000.00",Put,0.05s,N/A,10,2.50
Call,"3,047.00s",N/A,N/A,"152,350.00","11,000.00",Put,0.05s,N/A,1,2.50
Call,"2,947.25s",N/A,N/A,"147,362.50","12,000.00",Put,0.05s,N/A,N/A,2.50
Call,"2,847.50s",N/A,N/A,"142,375.00","13,000.00",Put,0.05s,N/A,1,2.50
Call,"2,747.50s",N/A,N/A,"137,375.00","1,400.00",Put,0.05s,N/A,53,2.50
Call,"2,647.75s",N/A,N/A,"132,387.50","1,500.00",Put,0.05s,N/A,381,2.50
Call,"2,548.00s",N/A,N/A,"127,400.00","1,600.00",Put,0.05s,N/A,755,2.50
Call,"2,448.00s",N/A,N/A,"122,400.00","1,700.00",Put,0.05s,N/A,636,2.50
Call,"2,348.25s",N/A,N/A,"117,412.50","1,800.00",Put,0.05s,N/A,277,2.50
Call,"2,248.50s",N/A,N/A,"112,425.00","1,900.00",Put,0.05s,N/A,424,2.50
Call,"2,148.75s",N/A,105,"107,437.50","2,000.00",Put,0.05s,N/A,"4,529",2.50
Call,"2,048.75s",N/A,5,"102,437.50","2,100.00",Put,0.05s,N/A,"1,514",2.50
Call,"1,949.00s",N/A,N/A,"97,450.00","2,200.00",Put,0.10s,N/A,"1,813",5.00
Call,"1,899.00s",N/A,N/A,"94,950.00","2,250.00",Put,0.10s,N/A,499,5.00
Call,"1,849.25s",N/A,N/A,"92,462.50","2,300.00",Put,0.10s,N/A,677,5.00
Call,"1,799.25s",N/A,N/A,"89,962.50","2,350.00",Put,0.15s,N/A,285,7.50
Call,"1,749.50s",N/A,N/A,"87,475.00","2,400.00",Put,0.15s,N/A,"1,634",7.50
Call,"1,699.50s",N/A,N/A,"84,975.00","2,450.00",Put,0.20s,11,645,10.00
Call,"1,649.75s",N/A,N/A,"82,487.50","2,500.00",Put,0.20s,N/A,951,10.00
Call,"1,599.75s",N/A,N/A,"79,987.50","2,550.00",Put,0.25s,N/A,615,12.50
Call,"1,550.00s",N/A,N/A,"77,500.00","2,600.00",Put,0.30,14,"1,869",15.00
Call,"1,500.00s",N/A,N/A,"75,000.00","2,650.00",Put,0.30s,N/A,940,15.00
Call,"1,450.00s",N/A,N/A,"72,500.00","2,700.00",Put,0.35s,27,959,17.50
Call,"1,400.25s",N/A,N/A,"70,012.50","2,750.00",Put,0.35s,15,"1,006",17.50
Call,"1,390.25s",N/A,N/A,"69,512.50","2,760.00",Put,0.35s,N/A,61,17.50
Call,"1,380.25s",N/A,N/A,"69,012.50","2,770.00",Put,0.35s,12,87,17.50
Call,"1,370.25s",N/A,N/A,"68,512.50","2,780.00",Put,0.40s,N/A,63,20.00
Call,"1,360.25s",N/A,N/A,"68,012.50","2,790.00",Put,0.40s,N/A,544,20.00
Call,"1,350.25s",N/A,N/A,"67,512.50","2,800.00",Put,0.40s,N/A,875,20.00
Call,"1,340.50s",N/A,N/A,"67,025.00","2,810.00",Put,0.40s,N/A,190,20.00
Call,"1,330.50s",N/A,N/A,"66,525.00","2,820.00",Put,0.45s,N/A,175,22.50
Call,"1,320.50s",N/A,N/A,"66,025.00","2,830.00",Put,0.45s,N/A,25,22.50
Call,"1,310.50s",N/A,N/A,"65,525.00","2,840.00",Put,0.45s,N/A,61,22.50
Call,"1,300.50s",N/A,N/A,"65,025.00","2,850.00",Put,0.45s,N/A,"1,252",22.50
Call,"1,290.50s",N/A,N/A,"64,525.00","2,860.00",Put,0.50s,5,281,25.00
Call,"1,280.50s",N/A,N/A,"64,025.00","2,870.00",Put,0.50s,N/A,10,25.00
Call,"1,270.50s",N/A,N/A,"63,525.00","2,880.00",Put,0.50s,11,130,25.00
Call,"1,260.75s",N/A,N/A,"63,037.50","2,890.00",Put,0.55s,N/A,154,27.50
Call,"1,250.75s",N/A,N/A,"62,537.50","2,900.00",Put,0.50,1,"1,457",25.00
Call,"1,240.75s",N/A,N/A,"62,037.50","2,910.00",Put,0.50,2,177,25.00
Call,"1,230.75s",N/A,N/A,"61,537.50","2,920.00",Put,0.60s,N/A,138,30.00
Call,"1,220.75s",N/A,N/A,"61,037.50","2,930.00",Put,0.60s,N/A,216,30.00
Call,"1,210.75s",N/A,N/A,"60,537.50","2,940.00",Put,0.60s,N/A,497,30.00
Call,"1,200.75s",N/A,N/A,"60,037.50","2,950.00",Put,0.55,1,710,27.50
Call,"1,191.00s",N/A,N/A,"59,550.00","2,960.00",Put,0.65s,5,175,32.50
Call,"1,181.00s",N/A,N/A,"59,050.00","2,970.00",Put,0.65s,111,537,32.50
Call,"1,171.00s",N/A,N/A,"58,550.00","2,980.00",Put,0.70s,N/A,225,35.00
Call,"1,161.00s",N/A,N/A,"58,050.00","2,990.00",Put,0.70s,N/A,682,35.00
Call,"1,151.00s",N/A,43,"57,550.00","3,000.00",Put,0.65,77,"4,685",32.50
Call,"1,141.00s",N/A,N/A,"57,050.00","3,010.00",Put,0.75s,N/A,243,37.50
Call,"1,131.00s",N/A,N/A,"56,550.00","3,020.00",Put,0.75s,N/A,537,37.50
Call,"1,121.00s",N/A,N/A,"56,050.00","3,030.00",Put,0.75s,N/A,381,37.50
Call,"1,111.25s",N/A,N/A,"55,562.50","3,040.00",Put,0.80s,N/A,606,40.00
Call,"1,101.25s",N/A,N/A,"55,062.50","3,050.00",Put,0.80s,4,"1,061",40.00
