Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"4,045.00","1,380","1,664","202,250.00",100.00,Put,0.05s,N/A,N/A,2.50
Call,"3,345.25s",N/A,N/A,"167,262.50",800.00,Put,0.05s,N/A,N/A,2.50
Call,"2,945.50s",N/A,N/A,"147,275.00","1,200.00",Put,0.05s,N/A,N/A,2.50
Call,"2,245.75s",N/A,N/A,"112,287.50","1,900.00",Put,0.05s,N/A,N/A,2.50
Call,"2,145.75s",N/A,N/A,"107,287.50","2,000.00",Put,0.05s,N/A,35,2.50
Call,"2,045.75s",N/A,N/A,"102,287.50","2,100.00",Put,0.05s,N/A,31,2.50
Call,"1,946.00s",N/A,N/A,"97,300.00","2,200.00",Put,0.05s,N/A,82,2.50
Call,"1,846.00s",N/A,N/A,"92,300.00","2,300.00",Put,0.05s,N/A,40,2.50
Call,"1,796.00s",N/A,N/A,"89,800.00","2,350.00",Put,0.05s,N/A,1,2.50
Call,"1,746.00s","1,380","1,380","87,300.00","2,400.00",Put,0.05s,N/A,41,2.50
Call,"1,696.00s",N/A,N/A,"84,800.00","2,450.00",Put,0.05s,N/A,50,2.50
Call,"1,646.00s",N/A,N/A,"82,300.00","2,500.00",Put,0.05s,N/A,"1,571",2.50
Call,"1,596.00s",N/A,N/A,"79,800.00","2,550.00",Put,0.05s,N/A,282,2.50
Call,"1,546.00s",N/A,N/A,"77,300.00","2,600.00",Put,0.05s,N/A,261,2.50
Call,"1,496.00s",N/A,N/A,"74,800.00","2,650.00",Put,0.05s,N/A,244,2.50
Call,"1,446.00s",N/A,N/A,"72,300.00","2,700.00",Put,0.05s,N/A,170,2.50
Call,"1,396.25s",N/A,N/A,"69,812.50","2,750.00",Put,0.05s,N/A,48,2.50
Call,"1,346.25s",N/A,N/A,"67,312.50","2,800.00",Put,0.05s,N/A,725,2.50
Call,"1,296.25s",N/A,N/A,"64,812.50","2,850.00",Put,0.05s,N/A,887,2.50
Call,"1,286.25s",N/A,N/A,"64,312.50","2,860.00",Put,0.05s,N/A,N/A,2.50
Call,"1,276.25s",N/A,N/A,"63,812.50","2,870.00",Put,0.05s,N/A,"2,471",2.50
Call,"1,266.25s",N/A,N/A,"63,312.50","2,880.00",Put,0.05s,N/A,347,2.50
Call,"1,256.25s",N/A,N/A,"62,812.50","2,890.00",Put,0.05s,N/A,684,2.50
Call,"1,246.25s",N/A,N/A,"62,312.50","2,900.00",Put,0.05s,N/A,270,2.50
Call,"1,236.25s",N/A,N/A,"61,812.50","2,910.00",Put,0.05s,N/A,"1,001",2.50
Call,"1,226.25s",N/A,N/A,"61,312.50","2,920.00",Put,0.05s,N/A,190,2.50
Call,"1,216.25s",N/A,N/A,"60,812.50","2,930.00",Put,0.05s,N/A,459,2.50
Call,"1,206.25s",N/A,N/A,"60,312.50","2,940.00",Put,0.05s,N/A,26,2.50
Call,"1,196.25s",N/A,N/A,"59,812.50","2,950.00",Put,0.05s,N/A,"3,288",2.50
Call,"1,186.25s",N/A,N/A,"59,312.50","2,960.00",Put,0.05s,N/A,69,2.50
Call,"1,176.25s",N/A,N/A,"58,812.50","2,970.00",Put,0.05s,N/A,67,2.50
Call,"1,166.25s",N/A,N/A,"58,312.50","2,980.00",Put,0.05s,N/A,15,2.50
Call,"1,156.25s",N/A,N/A,"57,812.50","2,990.00",Put,0.05s,N/A,"1,547",2.50
Call,"1,146.25s",N/A,N/A,"57,312.50","3,000.00",Put,0.05s,N/A,"14,432",2.50
Call,"1,136.25s",N/A,N/A,"56,812.50","3,010.00",Put,0.05s,N/A,296,2.50
Call,"1,126.25s",N/A,N/A,"56,312.50","3,020.00",Put,0.05s,N/A,8,2.50
Call,"1,116.25s",N/A,N/A,"55,812.50","3,030.00",Put,0.05s,N/A,78,2.50
Call,"1,106.25s",N/A,N/A,"55,312.50","3,040.00",Put,0.05s,N/A,375,2.50
Call,"1,096.25s",N/A,N/A,"54,812.50","3,050.00",Put,0.05s,6,833,2.50
Call,"1,086.25s",N/A,N/A,"54,312.50","3,060.00",Put,0.05s,N/A,122,2.50
Call,"1,076.25s",N/A,N/A,"53,812.50","3,070.00",Put,0.05s,N/A,13,2.50
Call,"1,066.25s",N/A,N/A,"53,312.50","3,080.00",Put,0.05s,N/A,131,2.50
Call,"1,056.25s",N/A,N/A,"52,812.50","3,090.00",Put,0.05s,N/A,428,2.50
Call,"1,046.25s",N/A,N/A,"52,312.50","3,100.00",Put,0.05s,"8,561","8,872",2.50
Call,"1,036.25s",N/A,N/A,"51,812.50","3,110.00",Put,0.05s,30,60,2.50
Call,"1,026.25s",N/A,N/A,"51,312.50","3,120.00",Put,0.05s,30,66,2.50
Call,"1,016.25s",N/A,N/A,"50,812.50","3,130.00",Put,0.05s,30,106,2.50
Call,"1,006.25s",N/A,N/A,"50,312.50","3,140.00",Put,0.05s,"1,946","1,948",2.50
Call,996.25s,N/A,N/A,"49,812.50","3,150.00",Put,0.05s,411,"2,357",2.50
Call,986.25s,N/A,N/A,"49,312.50","3,160.00",Put,0.05,1,670,2.50
Call,976.25s,N/A,N/A,"48,812.50","3,170.00",Put,0.05s,"9,754","9,763",2.50
Call,966.25s,N/A,N/A,"48,312.50","3,180.00",Put,0.05s,N/A,338,2.50
Call,956.25s,N/A,N/A,"47,812.50","3,190.00",Put,0.05s,2,"3,605",2.50
Call,946.50s,N/A,N/A,"47,325.00","3,200.00",Put,0.05,1,538,2.50
Call,936.50s,N/A,N/A,"46,825.00","3,210.00",Put,0.05s,N/A,826,2.50
Call,926.50s,N/A,N/A,"46,325.00","3,220.00",Put,0.05s,1,313,2.50
Call,916.50s,N/A,N/A,"45,825.00","3,230.00",Put,0.05s,N/A,5,2.50
Call,911.50s,N/A,N/A,"45,575.00","3,235.00",Put,0.05s,N/A,N/A,2.50
Call,906.50s,N/A,N/A,"45,325.00","3,240.00",Put,0.05s,N/A,324,2.50
Call,901.50s,N/A,N/A,"45,075.00","3,245.00",Put,0.05s,N/A,37,2.50
Call,896.50s,N/A,N/A,"44,825.00","3,250.00",Put,0.05s,438,"2,516",2.50
Call,891.50s,N/A,N/A,"44,575.00","3,255.00",Put,0.05s,N/A,N/A,2.50
Call,886.50s,N/A,N/A,"44,325.00","3,260.00",Put,0.10s,1,480,5.00
Call,881.50s,N/A,N/A,"44,075.00","3,265.00",Put,0.10s,N/A,52,5.00
Call,876.50s,N/A,N/A,"43,825.00","3,270.00",Put,0.10s,N/A,22,5.00
Call,871.50s,N/A,N/A,"43,575.00","3,275.00",Put,0.10s,N/A,45,5.00
Call,866.50s,N/A,N/A,"43,325.00","3,280.00",Put,0.10s,N/A,"4,279",5.00
Call,861.50s,N/A,N/A,"43,075.00","3,285.00",Put,0.10s,N/A,80,5.00
Call,856.50s,N/A,N/A,"42,825.00","3,290.00",Put,0.10s,N/A,44,5.00
Call,851.50s,N/A,N/A,"42,575.00","3,295.00",Put,0.10s,N/A,111,5.00
Call,846.50s,N/A,N/A,"42,325.00","3,300.00",Put,0.10s,10,"1,493",5.00
Call,841.50s,N/A,N/A,"42,075.00","3,305.00",Put,0.10s,N/A,N/A,5.00
Call,836.50s,N/A,N/A,"41,825.00","3,310.00",Put,0.10s,N/A,"2,185",5.00
Call,831.50s,N/A,N/A,"41,575.00","3,315.00",Put,0.10s,N/A,338,5.00
Call,826.50s,N/A,N/A,"41,325.00","3,320.00",Put,0.10s,204,220,5.00
Call,821.50s,N/A,N/A,"41,075.00","3,325.00",Put,0.10s,N/A,9,5.00
Call,816.50s,N/A,N/A,"40,825.00","3,330.00",Put,0.10s,N/A,355,5.00
Call,811.50s,N/A,N/A,"40,575.00","3,335.00",Put,0.10s,N/A,60,5.00
Call,806.50s,N/A,N/A,"40,325.00","3,340.00",Put,0.10s,N/A,134,5.00
Call,801.50s,N/A,N/A,"40,075.00","3,345.00",Put,0.10s,N/A,617,5.00
Call,796.50s,N/A,N/A,"39,825.00","3,350.00",Put,0.10s,N/A,"2,467",5.00
Call,791.50s,N/A,N/A,"39,575.00","3,355.00",Put,0.10s,N/A,5,5.00
Call,786.50s,N/A,N/A,"39,325.00","3,360.00",Put,0.10s,N/A,999,5.00
Call,781.50s,N/A,N/A,"39,075.00","3,365.00",Put,0.10s,N/A,79,5.00
Call,776.50s,N/A,N/A,"38,825.00","3,370.00",Put,0.10s,N/A,2,5.00
Call,771.50s,N/A,N/A,"38,575.00","3,375.00",Put,0.10s,5,616,5.00
Call,766.50s,N/A,N/A,"38,325.00","3,380.00",Put,0.10s,N/A,82,5.00
Call,761.50s,N/A,N/A,"38,075.00","3,385.00",Put,0.10s,N/A,21,5.00
Call,756.50s,N/A,N/A,"37,825.00","3,390.00",Put,0.10s,N/A,208,5.00
Call,751.50s,N/A,N/A,"37,575.00","3,395.00",Put,0.10s,N/A,51,5.00
Call,746.50s,N/A,N/A,"37,325.00","3,400.00",Put,0.10s,2,794,5.00
Call,741.50s,N/A,N/A,"37,075.00","3,405.00",Put,0.10s,N/A,185,5.00
Call,736.50s,N/A,N/A,"36,825.00","3,410.00",Put,0.10s,N/A,34,5.00
Call,731.50s,N/A,N/A,"36,575.00","3,415.00",Put,0.10s,N/A,224,5.00
Call,726.50s,N/A,N/A,"36,325.00","3,420.00",Put,0.10s,N/A,140,5.00
