Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"7,237.50s",N/A,N/A,"144,750.00","5,500.00",Put,0.40s,N/A,182,8.00
Call,"6,737.50s",N/A,N/A,"134,750.00","6,000.00",Put,0.70,1,80,14.00
Call,"6,237.50s",N/A,N/A,"124,750.00","6,500.00",Put,1.25s,N/A,550,25.00
Call,"5,937.50s",N/A,N/A,"118,750.00","6,800.00",Put,1.60s,N/A,5,32.00
Call,"5,837.50s",N/A,N/A,"116,750.00","6,900.00",Put,1.80s,N/A,N/A,36.00
Call,"5,737.50s",N/A,N/A,"114,750.00","7,000.00",Put,1.95s,N/A,201,39.00
Call,"5,637.50s",N/A,N/A,"112,750.00","7,100.00",Put,2.10s,N/A,4,42.00
Call,"5,537.50s",N/A,N/A,"110,750.00","7,200.00",Put,2.30s,N/A,74,46.00
Call,"5,437.50s",N/A,N/A,"108,750.00","7,300.00",Put,2.50s,N/A,55,50.00
Call,"5,337.50s",N/A,N/A,"106,750.00","7,400.00",Put,2.70s,N/A,166,54.00
Call,"5,237.50s",N/A,N/A,"104,750.00","7,500.00",Put,2.95s,N/A,32,59.00
Call,"5,137.50s",N/A,N/A,"102,750.00","7,600.00",Put,3.20s,N/A,15,64.00
Call,"5,037.50s",N/A,N/A,"100,750.00","7,700.00",Put,3.45s,N/A,11,69.00
Call,"4,937.50s",N/A,N/A,"98,750.00","7,800.00",Put,3.75s,1,9,75.00
Call,"4,837.50s",N/A,N/A,"96,750.00","7,900.00",Put,4.05s,N/A,16,81.00
Call,"4,737.75s",N/A,1,"94,755.00","8,000.00",Put,4.40s,68,201,88.00
Call,"4,637.75s",N/A,4,"92,755.00","8,100.00",Put,4.80s,N/A,30,96.00
Call,"4,538.00s",N/A,4,"90,760.00","8,200.00",Put,5.25s,N/A,33,105.00
Call,"4,438.25s",N/A,1,"88,765.00","8,300.00",Put,5.75s,N/A,91,115.00
Call,"4,338.75s",N/A,5,"86,775.00","8,400.00",Put,6.25s,N/A,66,125.00
