Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"7,456.50",N/A,N/A,"149,130.00","5,500.00",Put,0.35s,N/A,N/A,7.00
Call,"6,957.50s",N/A,N/A,"139,150.00","6,000.00",Put,0.50s,4,12,10.00
Call,"6,458.75s",N/A,N/A,"129,175.00","6,500.00",Put,0.65s,N/A,3,13.00
Call,"6,159.50s",N/A,N/A,"123,190.00","6,800.00",Put,0.75s,N/A,N/A,15.00
Call,"6,059.75s",N/A,N/A,"121,195.00","6,900.00",Put,0.75s,N/A,3,15.00
Call,"5,960.00s",N/A,N/A,"119,200.00","7,000.00",Put,0.80s,2,7,16.00
Call,"5,860.25s",N/A,N/A,"117,205.00","7,100.00",Put,0.85s,N/A,N/A,17.00
Call,"5,760.50s",N/A,N/A,"115,210.00","7,200.00",Put,0.90s,N/A,N/A,18.00
Call,"5,660.75s",N/A,N/A,"113,215.00","7,300.00",Put,0.95s,N/A,N/A,19.00
Call,"5,561.00s",N/A,N/A,"111,220.00","7,400.00",Put,1.05s,N/A,N/A,21.00
Call,"5,461.25s",N/A,N/A,"109,225.00","7,500.00",Put,1.10s,1,21,22.00
Call,"5,361.50s",N/A,N/A,"107,230.00","7,600.00",Put,1.15s,N/A,N/A,23.00
Call,"5,261.75s",N/A,N/A,"105,235.00","7,700.00",Put,1.25s,N/A,N/A,25.00
Call,"5,162.25s",N/A,N/A,"103,245.00","7,800.00",Put,1.35s,N/A,2,27.00
Call,"5,062.50s",N/A,N/A,"101,250.00","7,900.00",Put,1.45s,N/A,17,29.00
Call,"4,962.75s",N/A,N/A,"99,255.00","8,000.00",Put,1.60s,2,48,32.00
Call,"4,863.25s",N/A,N/A,"97,265.00","8,100.00",Put,1.75s,N/A,25,35.00
Call,"4,763.50s",N/A,N/A,"95,270.00","8,200.00",Put,1.90s,N/A,1,38.00
Call,"4,664.00s",N/A,N/A,"93,280.00","8,300.00",Put,2.10s,1,18,42.00
Call,"4,564.25s",N/A,N/A,"91,285.00","8,400.00",Put,2.30s,N/A,4,46.00
Call,"4,514.50s",N/A,N/A,"90,290.00","8,450.00",Put,2.40s,N/A,1,48.00
Call,"4,464.75s",N/A,N/A,"89,295.00","8,500.00",Put,2.55s,N/A,12,51.00
Call,"4,415.00s",N/A,N/A,"88,300.00","8,550.00",Put,2.65s,N/A,4,53.00
Call,"4,365.25s",N/A,N/A,"87,305.00","8,600.00",Put,2.75s,N/A,N/A,55.00
Call,"4,315.50s",N/A,N/A,"86,310.00","8,650.00",Put,2.90s,N/A,N/A,58.00
Call,"4,265.75s",N/A,N/A,"85,315.00","8,700.00",Put,3.00s,N/A,N/A,60.00
Call,"4,216.00s",N/A,N/A,"84,320.00","8,750.00",Put,3.15s,N/A,N/A,63.00
Call,"4,166.25s",N/A,N/A,"83,325.00","8,800.00",Put,3.25s,N/A,2,65.00
Call,"4,116.50s",N/A,N/A,"82,330.00","8,850.00",Put,3.40s,N/A,N/A,68.00
Call,"4,066.75s",N/A,N/A,"81,335.00","8,900.00",Put,3.55s,N/A,33,71.00
Call,"4,017.00s",N/A,N/A,"80,340.00","8,950.00",Put,3.70s,N/A,N/A,74.00
Call,"3,967.25s",N/A,N/A,"79,345.00","9,000.00",Put,3.85s,23,71,77.00
Call,"3,917.50s",N/A,N/A,"78,350.00","9,050.00",Put,4.00s,N/A,N/A,80.00
Call,"3,867.75s",N/A,N/A,"77,355.00","9,100.00",Put,4.15s,N/A,3,83.00
Call,"3,818.00s",N/A,N/A,"76,360.00","9,150.00",Put,4.35s,N/A,N/A,87.00
