Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"7,323.25",N/A,N/A,"146,465.00","6,000.00",Put,0.05s,N/A,N/A,1.00
Call,"6,823.50s",N/A,N/A,"136,470.00","6,500.00",Put,0.05s,N/A,N/A,1.00
Call,"6,323.75s",N/A,N/A,"126,475.00","7,000.00",Put,0.05s,N/A,N/A,1.00
Call,"6,223.75s",N/A,N/A,"124,475.00","7,100.00",Put,0.05s,N/A,N/A,1.00
Call,"6,124.00s",N/A,N/A,"122,480.00","7,200.00",Put,0.05s,N/A,N/A,1.00
Call,"6,024.00s",N/A,N/A,"120,480.00","7,300.00",Put,0.05s,N/A,N/A,1.00
Call,"5,924.00s",N/A,N/A,"118,480.00","7,400.00",Put,0.05s,N/A,N/A,1.00
Call,"5,824.00s",N/A,N/A,"116,480.00","7,500.00",Put,0.05s,N/A,N/A,1.00
Call,"5,724.25s",N/A,N/A,"114,485.00","7,600.00",Put,0.05s,N/A,N/A,1.00
Call,"5,624.25s",N/A,N/A,"112,485.00","7,700.00",Put,0.05s,N/A,N/A,1.00
Call,"5,524.25s",N/A,N/A,"110,485.00","7,800.00",Put,0.05s,N/A,N/A,1.00
Call,"5,424.25s",N/A,N/A,"108,485.00","7,900.00",Put,0.05s,N/A,N/A,1.00
Call,"5,324.25s",N/A,N/A,"106,485.00","8,000.00",Put,0.05s,N/A,N/A,1.00
Call,"5,224.50s",N/A,N/A,"104,490.00","8,100.00",Put,0.05s,N/A,N/A,1.00
Call,"5,124.50s",N/A,N/A,"102,490.00","8,200.00",Put,0.05s,N/A,N/A,1.00
Call,"5,024.50s",N/A,N/A,"100,490.00","8,300.00",Put,0.05s,N/A,N/A,1.00
Call,"4,924.50s",N/A,N/A,"98,490.00","8,400.00",Put,0.05s,N/A,N/A,1.00
Call,"4,824.75s",N/A,N/A,"96,495.00","8,500.00",Put,0.10s,N/A,N/A,2.00
Call,"4,724.75s",N/A,N/A,"94,495.00","8,600.00",Put,0.10s,N/A,N/A,2.00
Call,"4,624.75s",N/A,N/A,"92,495.00","8,700.00",Put,0.10s,N/A,N/A,2.00
Call,"4,574.75s",N/A,N/A,"91,495.00","8,750.00",Put,0.10s,N/A,N/A,2.00
Call,"4,524.75s",N/A,N/A,"90,495.00","8,800.00",Put,0.10s,N/A,6,2.00
Call,"4,474.75s",N/A,N/A,"89,495.00","8,850.00",Put,0.10s,N/A,N/A,2.00
Call,"4,425.00s",N/A,N/A,"88,500.00","8,900.00",Put,0.10s,N/A,N/A,2.00
Call,"4,375.00s",N/A,N/A,"87,500.00","8,950.00",Put,0.10s,N/A,36,2.00
Call,"4,325.00s",N/A,N/A,"86,500.00","9,000.00",Put,0.15s,N/A,2,3.00
Call,"4,275.00s",N/A,N/A,"85,500.00","9,050.00",Put,0.15s,N/A,N/A,3.00
Call,"4,225.00s",N/A,N/A,"84,500.00","9,100.00",Put,0.15s,N/A,N/A,3.00
Call,"4,175.00s",N/A,N/A,"83,500.00","9,150.00",Put,0.15s,N/A,N/A,3.00
Call,"4,125.00s",N/A,N/A,"82,500.00","9,200.00",Put,0.15s,N/A,1,3.00
Call,"4,075.00s",N/A,N/A,"81,500.00","9,250.00",Put,0.15s,N/A,N/A,3.00
Call,"4,025.25s",N/A,N/A,"80,505.00","9,300.00",Put,0.15s,N/A,N/A,3.00
Call,"3,975.25s",N/A,N/A,"79,505.00","9,350.00",Put,0.20s,N/A,22,4.00
Call,"3,925.25s",N/A,N/A,"78,505.00","9,400.00",Put,0.20s,N/A,45,4.00
Call,"3,875.25s",N/A,N/A,"77,505.00","9,450.00",Put,0.20s,N/A,N/A,4.00
Call,"3,825.25s",N/A,N/A,"76,505.00","9,500.00",Put,0.20s,N/A,1,4.00
Call,"3,775.25s",N/A,N/A,"75,505.00","9,550.00",Put,0.20s,N/A,N/A,4.00
Call,"3,725.25s",N/A,N/A,"74,505.00","9,600.00",Put,0.20s,N/A,1,4.00
Call,"3,675.25s",N/A,N/A,"73,505.00","9,650.00",Put,0.25s,N/A,70,5.00
Call,"3,625.50s",N/A,N/A,"72,510.00","9,700.00",Put,0.25s,N/A,N/A,5.00
Call,"3,575.50s",N/A,N/A,"71,510.00","9,750.00",Put,0.25s,N/A,1,5.00
Call,"3,525.50s",N/A,N/A,"70,510.00","9,800.00",Put,0.25s,N/A,2,5.00
Call,"3,475.50s",N/A,N/A,"69,510.00","9,850.00",Put,0.25s,N/A,N/A,5.00
