Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,677.75s",N/A,N/A,"133,555.00","6,000.00",Put,0.10s,N/A,125,2.00
Call,"6,177.75s",N/A,N/A,"123,555.00","6,500.00",Put,0.15s,N/A,212,3.00
Call,"5,677.75s",N/A,2,"113,555.00","7,000.00",Put,0.30s,N/A,155,6.00
Call,"5,577.75s",N/A,N/A,"111,555.00","7,100.00",Put,0.30s,N/A,68,6.00
Call,"5,477.75s",N/A,N/A,"109,555.00","7,200.00",Put,0.35s,N/A,15,7.00
Call,"5,377.75s",N/A,N/A,"107,555.00","7,300.00",Put,0.40s,N/A,36,8.00
Call,"5,277.75s",N/A,N/A,"105,555.00","7,400.00",Put,0.45s,N/A,51,9.00
Call,"5,177.75s",N/A,N/A,"103,555.00","7,500.00",Put,0.50s,N/A,109,10.00
Call,"5,077.75s",N/A,N/A,"101,555.00","7,600.00",Put,0.55s,288,388,11.00
Call,"4,977.75s",N/A,N/A,"99,555.00","7,700.00",Put,0.60s,99,99,12.00
Call,"4,877.75s",N/A,N/A,"97,555.00","7,800.00",Put,0.65s,1,73,13.00
Call,"4,777.75s",N/A,N/A,"95,555.00","7,900.00",Put,0.75s,N/A,19,15.00
Call,"4,677.75s",N/A,N/A,"93,555.00","8,000.00",Put,0.80s,1,141,16.00
Call,"4,578.00s",N/A,N/A,"91,560.00","8,100.00",Put,0.90s,N/A,29,18.00
Call,"4,478.00s",N/A,N/A,"89,560.00","8,200.00",Put,1.00s,N/A,53,20.00
Call,"4,378.00s",N/A,N/A,"87,560.00","8,300.00",Put,1.10s,N/A,22,22.00
Call,"4,278.25s",N/A,N/A,"85,565.00","8,400.00",Put,1.25s,N/A,28,25.00
Call,"4,178.25s",N/A,N/A,"83,565.00","8,500.00",Put,1.40s,22,42,28.00
Call,"4,078.50s",N/A,N/A,"81,570.00","8,600.00",Put,1.55s,N/A,77,31.00
Call,"3,978.50s",N/A,10,"79,570.00","8,700.00",Put,1.75s,5,20,35.00
Call,"3,878.75s",N/A,N/A,"77,575.00","8,800.00",Put,2.00s,12,62,40.00
Call,"3,829.00s",N/A,N/A,"76,580.00","8,850.00",Put,2.10s,N/A,N/A,42.00
Call,"3,779.00s",N/A,N/A,"75,580.00","8,900.00",Put,2.20s,N/A,38,44.00
Call,"3,729.25s",N/A,N/A,"74,585.00","8,950.00",Put,2.35s,N/A,N/A,47.00
Call,"3,679.25s",N/A,1,"73,585.00","9,000.00",Put,2.50s,322,618,50.00
Call,"3,629.50s",N/A,N/A,"72,590.00","9,050.00",Put,2.65s,18,18,53.00
Call,"3,579.75s",N/A,6,"71,595.00","9,100.00",Put,2.80s,N/A,12,56.00
Call,"3,529.75s",N/A,N/A,"70,595.00","9,150.00",Put,3.00s,N/A,3,60.00
Call,"3,480.00s",N/A,10,"69,600.00","9,200.00",Put,3.15s,7,83,63.00
Call,"3,430.25s",N/A,N/A,"68,605.00","9,250.00",Put,3.35s,N/A,17,67.00
Call,"3,380.25s",N/A,N/A,"67,605.00","9,300.00",Put,3.55s,5,104,71.00
Call,"3,330.50s",N/A,N/A,"66,610.00","9,350.00",Put,3.75s,N/A,N/A,75.00
Call,"3,280.75s",N/A,N/A,"65,615.00","9,400.00",Put,4.00s,N/A,20,80.00
Call,"3,231.00s",N/A,N/A,"64,620.00","9,450.00",Put,4.25s,N/A,1,85.00
Call,"3,181.25s",3,2,"63,625.00","9,500.00",Put,4.50s,2,120,90.00
Call,"3,131.50s",N/A,N/A,"62,630.00","9,550.00",Put,4.80s,20,28,96.00
Call,"3,082.00s",N/A,N/A,"61,640.00","9,600.00",Put,5.00s,7,98,100.00
Call,"3,032.25s",N/A,N/A,"60,645.00","9,650.00",Put,5.50s,N/A,50,110.00
Call,"2,982.50s",N/A,N/A,"59,650.00","9,700.00",Put,5.75s,27,193,115.00
Call,"2,933.00s",N/A,N/A,"58,660.00","9,750.00",Put,6.00s,N/A,13,120.00
Call,"2,883.25s",N/A,N/A,"57,665.00","9,800.00",Put,6.50s,10,239,130.00
Call,"2,833.75s",N/A,N/A,"56,675.00","9,850.00",Put,6.75s,N/A,104,135.00
Call,"2,784.25s",N/A,N/A,"55,685.00","9,900.00",Put,7.25s,8,95,145.00
Call,"2,734.75s",N/A,N/A,"54,695.00","9,950.00",Put,7.75s,10,70,155.00
Call,"2,685.25s",N/A,2,"53,705.00","10,000.00",Put,8.25s,119,808,165.00
Call,"2,635.75s",N/A,N/A,"52,715.00","10,050.00",Put,8.75s,1,44,175.00
Call,"2,586.25s",N/A,N/A,"51,725.00","10,100.00",Put,9.25s,2,103,185.00
Call,"2,536.75s",N/A,5,"50,735.00","10,150.00",Put,10.00s,N/A,21,200.00
Call,"2,487.50s",N/A,1,"49,750.00","10,200.00",Put,10.50s,50,223,210.00
Call,"2,438.25s",N/A,N/A,"48,765.00","10,250.00",Put,11.25s,32,83,225.00
Call,"2,389.00s",N/A,N/A,"47,780.00","10,300.00",Put,12.00s,6,95,240.00
Call,"2,339.75s",N/A,N/A,"46,795.00","10,350.00",Put,12.75s,6,134,255.00
Call,"2,290.50s",N/A,N/A,"45,810.00","10,400.00",Put,13.50s,40,172,270.00
Call,"2,241.50s",N/A,N/A,"44,830.00","10,450.00",Put,14.00,1,113,280.00
