Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,063.75",N/A,N/A,"121,275.00","5,500.00",Put,0.05s,N/A,N/A,1.00
Call,"5,564.00s",N/A,N/A,"111,280.00","6,000.00",Put,0.05s,N/A,N/A,1.00
Call,"5,064.25s",N/A,N/A,"101,285.00","6,500.00",Put,0.05s,N/A,5,1.00
Call,"4,764.25s",N/A,N/A,"95,285.00","6,800.00",Put,0.05s,N/A,N/A,1.00
Call,"4,664.25s",N/A,N/A,"93,285.00","6,900.00",Put,0.05s,N/A,N/A,1.00
Call,"4,564.25s",N/A,N/A,"91,285.00","7,000.00",Put,0.10s,N/A,3,2.00
Call,"4,464.50s",N/A,N/A,"89,290.00","7,100.00",Put,0.10s,N/A,N/A,2.00
Call,"4,364.50s",N/A,N/A,"87,290.00","7,200.00",Put,0.10s,N/A,N/A,2.00
Call,"4,264.50s",N/A,N/A,"85,290.00","7,300.00",Put,0.15s,N/A,N/A,3.00
Call,"4,164.50s",N/A,N/A,"83,290.00","7,400.00",Put,0.15s,N/A,N/A,3.00
Call,"4,064.50s",N/A,N/A,"81,290.00","7,500.00",Put,0.20s,N/A,7,4.00
Call,"3,964.75s",N/A,N/A,"79,295.00","7,600.00",Put,0.20s,N/A,N/A,4.00
Call,"3,864.75s",N/A,N/A,"77,295.00","7,700.00",Put,0.25s,N/A,N/A,5.00
Call,"3,764.75s",N/A,N/A,"75,295.00","7,800.00",Put,0.25s,N/A,N/A,5.00
Call,"3,665.00s",N/A,N/A,"73,300.00","7,900.00",Put,0.30s,N/A,N/A,6.00
Call,"3,565.00s",N/A,N/A,"71,300.00","8,000.00",Put,0.35s,N/A,13,7.00
Call,"3,465.00s",N/A,N/A,"69,300.00","8,100.00",Put,0.40s,N/A,N/A,8.00
Call,"3,365.25s",N/A,N/A,"67,305.00","8,200.00",Put,0.50s,N/A,N/A,10.00
Call,"3,265.25s",N/A,N/A,"65,305.00","8,300.00",Put,0.55s,N/A,N/A,11.00
Call,"3,165.25s",N/A,N/A,"63,305.00","8,400.00",Put,0.65s,N/A,4,13.00
Call,"3,115.50s",N/A,N/A,"62,310.00","8,450.00",Put,0.70s,N/A,N/A,14.00
