Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,550.75",N/A,N/A,"131,015.00","6,000.00",Put,0.05s,10,20,1.00
Call,"6,050.75s",N/A,N/A,"121,015.00","6,500.00",Put,0.05s,N/A,N/A,1.00
Call,"5,550.75s",N/A,N/A,"111,015.00","7,000.00",Put,0.05s,N/A,10,1.00
Call,"5,450.75s",N/A,N/A,"109,015.00","7,100.00",Put,0.05s,N/A,N/A,1.00
Call,"5,350.75s",N/A,N/A,"107,015.00","7,200.00",Put,0.05s,N/A,N/A,1.00
Call,"5,250.75s",N/A,N/A,"105,015.00","7,300.00",Put,0.05s,N/A,N/A,1.00
Call,"5,150.75s",N/A,N/A,"103,015.00","7,400.00",Put,0.05s,N/A,N/A,1.00
Call,"5,050.75s",N/A,N/A,"101,015.00","7,500.00",Put,0.05s,N/A,10,1.00
Call,"4,950.75s",N/A,N/A,"99,015.00","7,600.00",Put,0.05s,N/A,N/A,1.00
Call,"4,850.75s",N/A,N/A,"97,015.00","7,700.00",Put,0.05s,N/A,N/A,1.00
Call,"4,750.75s",N/A,N/A,"95,015.00","7,800.00",Put,0.05s,N/A,3,1.00
Call,"4,650.75s",N/A,N/A,"93,015.00","7,900.00",Put,0.05s,N/A,3,1.00
Call,"4,550.75s",N/A,N/A,"91,015.00","8,000.00",Put,0.05s,N/A,11,1.00
Call,"4,450.75s",N/A,N/A,"89,015.00","8,100.00",Put,0.05s,N/A,3,1.00
Call,"4,350.75s",N/A,N/A,"87,015.00","8,200.00",Put,0.05s,N/A,3,1.00
Call,"4,250.75s",N/A,N/A,"85,015.00","8,300.00",Put,0.05s,N/A,N/A,1.00
Call,"4,150.75s",N/A,N/A,"83,015.00","8,400.00",Put,0.05s,N/A,N/A,1.00
Call,"4,050.75s",N/A,N/A,"81,015.00","8,500.00",Put,0.05s,N/A,6,1.00
Call,"3,950.75s",N/A,N/A,"79,015.00","8,600.00",Put,0.05s,N/A,N/A,1.00
Call,"3,850.75s",N/A,N/A,"77,015.00","8,700.00",Put,0.05s,N/A,21,1.00
Call,"3,750.75s",N/A,N/A,"75,015.00","8,800.00",Put,0.05s,N/A,1,1.00
Call,"3,700.75s",N/A,N/A,"74,015.00","8,850.00",Put,0.05s,N/A,N/A,1.00
Call,"3,650.75s",N/A,N/A,"73,015.00","8,900.00",Put,0.05s,N/A,10,1.00
