Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,066.50s",N/A,N/A,"121,330.00","5,500.00",Put,9.50s,2,27,190.00
Call,"5,569.25s",N/A,N/A,"111,385.00","6,000.00",Put,13.50s,9,73,270.00
Call,"5,074.00s",N/A,N/A,"101,480.00","6,500.00",Put,19.00s,5,69,380.00
Call,"4,778.25s",N/A,N/A,"95,565.00","6,800.00",Put,23.25s,N/A,4,465.00
Call,"4,680.00s",N/A,N/A,"93,600.00","6,900.00",Put,25.00s,N/A,N/A,500.00
Call,"4,581.75s",N/A,N/A,"91,635.00","7,000.00",Put,27.00,3,70,540.00
Call,"4,483.75s",N/A,N/A,"89,675.00","7,100.00",Put,29.00s,N/A,1,580.00
Call,"4,385.75s",N/A,N/A,"87,715.00","7,200.00",Put,31.00s,2,78,620.00
Call,"4,288.25s",N/A,N/A,"85,765.00","7,300.00",Put,33.50s,7,55,670.00
Call,"4,190.75s",N/A,N/A,"83,815.00","7,400.00",Put,35.75s,1,3,715.00
Call,"4,093.50s",N/A,N/A,"81,870.00","7,500.00",Put,37.50,1,25,750.00
Call,"3,996.50s",N/A,N/A,"79,930.00","7,600.00",Put,41.50s,8,15,830.00
Call,"3,899.50s",N/A,N/A,"77,990.00","7,700.00",Put,44.50s,N/A,4,890.00
Call,"3,803.00s",N/A,N/A,"76,060.00","7,800.00",Put,47.75s,2,4,955.00
Call,"3,706.75s",N/A,N/A,"74,135.00","7,900.00",Put,51.50s,N/A,6,"1,030.00"
Call,"3,610.75s",1,1,"72,215.00","8,000.00",Put,55.25s,2,142,"1,105.00"
Call,"3,515.00s",N/A,4,"70,300.00","8,100.00",Put,59.50s,N/A,4,"1,190.00"
Call,"3,419.75s",N/A,4,"68,395.00","8,200.00",Put,64.00s,N/A,16,"1,280.00"
Call,"3,324.75s",N/A,N/A,"66,495.00","8,300.00",Put,68.75s,N/A,21,"1,375.00"
Call,"3,230.25s",N/A,4,"64,605.00","8,400.00",Put,74.25s,N/A,48,"1,485.00"
Call,"3,183.00s",N/A,N/A,"63,660.00","8,450.00",Put,77.00s,N/A,N/A,"1,540.00"
Call,"3,136.25s",N/A,936,"62,725.00","8,500.00",Put,80.00s,1,42,"1,600.00"
Call,"3,089.25s",N/A,N/A,"61,785.00","8,550.00",Put,83.00s,N/A,N/A,"1,660.00"
Call,"3,042.50s",N/A,4,"60,850.00","8,600.00",Put,86.00s,N/A,81,"1,720.00"
Call,"2,996.00s",N/A,N/A,"59,920.00","8,650.00",Put,89.50s,N/A,N/A,"1,790.00"
Call,"2,949.50s",N/A,N/A,"58,990.00","8,700.00",Put,92.75s,N/A,21,"1,855.00"
Call,"2,903.00s",N/A,N/A,"58,060.00","8,750.00",Put,96.25s,N/A,16,"1,925.00"
