Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,503.25",N/A,N/A,"130,065.00","5,500.00",Put,0.05s,1,1,1.00
Call,"6,003.75s",N/A,N/A,"120,075.00","6,000.00",Put,0.05s,N/A,17,1.00
Call,"5,504.00s",N/A,N/A,"110,080.00","6,500.00",Put,0.10s,N/A,22,2.00
Call,"5,204.25s",N/A,N/A,"104,085.00","6,800.00",Put,0.10s,N/A,2,2.00
Call,"5,104.25s",N/A,N/A,"102,085.00","6,900.00",Put,0.10s,N/A,N/A,2.00
Call,"5,004.25s",N/A,N/A,"100,085.00","7,000.00",Put,0.15s,N/A,N/A,3.00
Call,"4,904.50s",N/A,N/A,"98,090.00","7,100.00",Put,0.15s,N/A,N/A,3.00
Call,"4,804.50s",N/A,N/A,"96,090.00","7,200.00",Put,0.15s,N/A,1,3.00
Call,"4,704.50s",N/A,N/A,"94,090.00","7,300.00",Put,0.20s,N/A,N/A,4.00
Call,"4,604.75s",N/A,N/A,"92,095.00","7,400.00",Put,0.20s,N/A,N/A,4.00
Call,"4,504.75s",N/A,N/A,"90,095.00","7,500.00",Put,0.20s,N/A,29,4.00
Call,"4,404.75s",N/A,N/A,"88,095.00","7,600.00",Put,0.25s,N/A,34,5.00
Call,"4,305.00s",N/A,N/A,"86,100.00","7,700.00",Put,0.25s,N/A,1,5.00
Call,"4,205.00s",N/A,N/A,"84,100.00","7,800.00",Put,0.30s,N/A,1,6.00
Call,"4,105.25s",N/A,N/A,"82,105.00","7,900.00",Put,0.30s,N/A,45,6.00
Call,"4,005.25s",N/A,N/A,"80,105.00","8,000.00",Put,0.35s,4,40,7.00
Call,"3,905.25s",N/A,N/A,"78,105.00","8,100.00",Put,0.40s,N/A,25,8.00
Call,"3,805.50s",N/A,N/A,"76,110.00","8,200.00",Put,0.40s,N/A,2,8.00
Call,"3,705.50s",N/A,N/A,"74,110.00","8,300.00",Put,0.45s,N/A,9,9.00
Call,"3,605.75s",N/A,N/A,"72,115.00","8,400.00",Put,0.50s,8,47,10.00
Call,"3,555.75s",N/A,N/A,"71,115.00","8,450.00",Put,0.50s,N/A,2,10.00
