Type,Last,Volume,"Open Int",Premium,Strike,Type,Last,Volume,"Open Int",Premium
Call,"6,615.25",N/A,N/A,"132,305.00","6,000.00",Put,0.05s,N/A,N/A,1.00
Call,"6,115.50s",N/A,N/A,"122,310.00","6,500.00",Put,0.05s,N/A,1,1.00
Call,"5,715.75s",N/A,N/A,"114,315.00","6,900.00",Put,0.05s,N/A,N/A,1.00
Call,"5,615.75s",N/A,N/A,"112,315.00","7,000.00",Put,0.05s,N/A,N/A,1.00
Call,"5,515.75s",N/A,N/A,"110,315.00","7,100.00",Put,0.05s,N/A,N/A,1.00
Call,"5,415.75s",N/A,N/A,"108,315.00","7,200.00",Put,0.05s,N/A,N/A,1.00
Call,"5,316.00s",N/A,N/A,"106,320.00","7,300.00",Put,0.05s,N/A,N/A,1.00
Call,"5,216.00s",N/A,N/A,"104,320.00","7,400.00",Put,0.05s,N/A,N/A,1.00
Call,"5,116.00s",N/A,N/A,"102,320.00","7,500.00",Put,0.05s,N/A,N/A,1.00
Call,"5,016.00s",N/A,N/A,"100,320.00","7,600.00",Put,0.05s,N/A,N/A,1.00
Call,"4,916.25s",N/A,N/A,"98,325.00","7,700.00",Put,0.05s,N/A,N/A,1.00
Call,"4,816.25s",N/A,N/A,"96,325.00","7,800.00",Put,0.05s,N/A,N/A,1.00
Call,"4,716.25s",N/A,N/A,"94,325.00","7,900.00",Put,0.05s,N/A,N/A,1.00
Call,"4,616.25s",N/A,N/A,"92,325.00","8,000.00",Put,0.05s,N/A,1,1.00
Call,"4,516.50s",N/A,N/A,"90,330.00","8,100.00",Put,0.05s,N/A,N/A,1.00
Call,"4,416.50s",N/A,N/A,"88,330.00","8,200.00",Put,0.05s,N/A,4,1.00
Call,"4,316.50s",N/A,N/A,"86,330.00","8,300.00",Put,0.05s,N/A,8,1.00
Call,"4,216.75s",N/A,N/A,"84,335.00","8,400.00",Put,0.10s,N/A,N/A,2.00
Call,"4,116.75s",N/A,N/A,"82,335.00","8,500.00",Put,0.10s,N/A,N/A,2.00
Call,"4,016.75s",N/A,N/A,"80,335.00","8,600.00",Put,0.10s,N/A,1,2.00
Call,"3,916.75s",N/A,N/A,"78,335.00","8,700.00",Put,0.15s,N/A,N/A,3.00
Call,"3,867.00s",N/A,N/A,"77,340.00","8,750.00",Put,0.15s,N/A,N/A,3.00
Call,"3,817.00s",N/A,N/A,"76,340.00","8,800.00",Put,0.15s,N/A,N/A,3.00
Call,"3,767.00s",N/A,N/A,"75,340.00","8,850.00",Put,0.20s,N/A,N/A,4.00
Call,"3,717.00s",N/A,N/A,"74,340.00","8,900.00",Put,0.20s,N/A,N/A,4.00
Call,"3,667.00s",N/A,N/A,"73,340.00","8,950.00",Put,0.20s,N/A,N/A,4.00
Call,"3,617.00s",N/A,N/A,"72,340.00","9,000.00",Put,0.25s,N/A,2,5.00
Call,"3,567.25s",N/A,N/A,"71,345.00","9,050.00",Put,0.25s,N/A,N/A,5.00
Call,"3,517.25s",N/A,N/A,"70,345.00","9,100.00",Put,0.25s,N/A,N/A,5.00
Call,"3,467.25s",N/A,N/A,"69,345.00","9,150.00",Put,0.30s,N/A,6,6.00
Call,"3,417.25s",N/A,N/A,"68,345.00","9,200.00",Put,0.30s,N/A,67,6.00
Call,"3,367.25s",N/A,N/A,"67,345.00","9,250.00",Put,0.35s,2,N/A,7.00
Call,"3,317.50s",N/A,N/A,"66,350.00","9,300.00",Put,0.35s,N/A,3,7.00
Call,"3,267.50s",N/A,N/A,"65,350.00","9,350.00",Put,0.40s,N/A,N/A,8.00
Call,"3,217.50s",N/A,N/A,"64,350.00","9,400.00",Put,0.40s,N/A,1,8.00
Call,"3,167.50s",N/A,N/A,"63,350.00","9,450.00",Put,0.45s,N/A,1,9.00
Call,"3,117.75s",N/A,N/A,"62,355.00","9,500.00",Put,0.50s,N/A,54,10.00
Call,"3,067.75s",N/A,N/A,"61,355.00","9,550.00",Put,0.55s,N/A,83,11.00
Call,"3,017.75s",N/A,N/A,"60,355.00","9,600.00",Put,0.60s,N/A,2,12.00
Call,"2,968.00s",N/A,N/A,"59,360.00","9,650.00",Put,0.65s,N/A,N/A,13.00
Call,"2,918.00s",N/A,N/A,"58,360.00","9,700.00",Put,0.70s,N/A,4,14.00
Call,"2,868.00s",N/A,N/A,"57,360.00","9,750.00",Put,0.75s,N/A,4,15.00
Call,"2,818.25s",N/A,N/A,"56,365.00","9,800.00",Put,0.80s,N/A,1,16.00
Call,"2,768.25s",N/A,N/A,"55,365.00","9,850.00",Put,0.85s,N/A,N/A,17.00
Call,"2,718.25s",N/A,N/A,"54,365.00","9,900.00",Put,0.95s,N/A,N/A,19.00
Call,"2,668.50s",N/A,N/A,"53,370.00","9,950.00",Put,1.00s,N/A,N/A,20.00
Call,"2,618.50s",N/A,N/A,"52,370.00","10,000.00",Put,1.10s,14,172,22.00
Call,"2,568.75s",N/A,N/A,"51,375.00","10,050.00",Put,1.20s,N/A,N/A,24.00
Call,"2,518.75s",N/A,N/A,"50,375.00","10,100.00",Put,1.30s,N/A,48,26.00
Call,"2,469.00s",N/A,N/A,"49,380.00","10,150.00",Put,1.40s,20,20,28.00
Call,"2,419.00s",N/A,N/A,"48,380.00","10,200.00",Put,1.50s,N/A,11,30.00
Call,"2,369.25s",N/A,N/A,"47,385.00","10,250.00",Put,1.65s,N/A,8,33.00
Call,"2,319.50s",N/A,N/A,"46,390.00","10,300.00",Put,1.80s,5,35,36.00
Call,"2,269.50s",N/A,N/A,"45,390.00","10,350.00",Put,1.95s,N/A,4,39.00
Call,"2,219.75s",N/A,N/A,"44,395.00","10,400.00",Put,2.10s,N/A,1,42.00
