Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
0.00,130.79,131.28,0.00,0,0,113.93%,N/A,250.00,0.01,0.00,0.01,0.00,20,"1,678",97.33%,07/01/22
0.00,125.79,126.28,0.00,0,0,108.90%,N/A,255.00,0.01,0.00,0.01,0.00,1,"1,365",93.05%,07/01/22
0.00,120.79,121.29,0.00,0,0,105.92%,N/A,260.00,0.01,0.00,0.01,0.00,0,"1,610",0.00%,06/30/22
0.00,115.80,116.29,0.00,0,0,101.01%,N/A,265.00,0.01,0.00,0.01,0.00,0,621,0.00%,06/30/22
0.00,110.81,111.29,0.00,0,0,96.18%,N/A,270.00,0.01,0.00,0.01,0.00,3,378,80.64%,07/01/22
0.00,105.80,106.29,0.00,0,0,91.43%,N/A,275.00,0.01,0.00,0.01,0.00,1,"7,121",76.64%,07/01/22
0.00,100.80,101.30,0.00,0,0,88.23%,N/A,280.00,0.01,0.00,0.01,0.00,20,"1,456",72.70%,07/01/22
0.00,95.80,96.30,0.00,0,0,83.57%,N/A,285.00,0.01,0.00,0.01,-0.01,20,924,68.82%,07/01/22
0.00,90.79,91.30,0.00,0,0,78.97%,N/A,290.00,0.01,0.00,0.01,-0.02,53,721,64.99%,07/01/22
80.91,85.81,86.31,80.91,1,0,75.61%,07/01/22,295.00,0.01,0.00,0.01,-0.02,"2,617","1,017",61.22%,07/01/22
0.00,80.82,81.31,0.00,0,0,71.09%,N/A,300.00,0.01,0.00,0.01,-0.04,"25,828","2,789",57.50%,07/01/22
70.93,75.83,76.31,70.93,1,0,66.62%,07/01/22,305.00,0.01,0.01,0.02,-0.03,"1,414","1,585",53.83%,07/01/22
0.00,70.82,71.32,0.00,0,0,63.13%,N/A,310.00,0.02,0.01,0.02,-0.03,"1,835","11,473",53.50%,07/01/22
0.00,65.83,66.32,0.00,0,0,58.73%,N/A,315.00,0.02,0.01,0.02,-0.04,532,"3,911",49.71%,07/01/22
56.30,60.70,61.33,-11.48,9,4,55.12%,07/01/22,320.00,0.03,0.02,0.03,-0.06,775,"2,458",47.91%,07/01/22
42.85,55.71,56.33,0.00,0,1,50.76%,06/16/22,325.00,0.03,0.02,0.03,-0.07,582,"23,023",44.06%,07/01/22
0.00,52.85,53.31,0.00,0,0,46.72%,N/A,328.00,0.03,0.02,0.03,-0.08,325,909,41.77%,07/01/22
0.00,51.85,52.31,0.00,0,0,45.88%,N/A,329.00,0.03,0.02,0.03,-0.08,163,588,41.01%,07/01/22
50.42,50.73,51.34,3.27,3,5,47.05%,07/01/22,330.00,0.03,0.03,0.04,-0.10,473,"21,676",40.25%,07/01/22
0.00,49.84,50.32,0.00,0,0,44.91%,N/A,331.00,0.04,0.03,0.04,-0.09,64,395,40.78%,07/01/22
33.72,48.72,49.34,0.00,0,4,45.30%,06/17/22,332.00,0.04,0.03,0.04,-0.09,80,"1,597",40.00%,07/01/22
0.00,47.85,48.32,0.00,0,0,43.20%,N/A,333.00,0.04,0.03,0.04,-0.11,42,456,39.22%,07/01/22
0.00,46.86,47.32,0.00,0,0,42.35%,N/A,334.00,0.04,0.03,0.04,-0.13,361,"2,499",38.44%,07/01/22
41.50,45.73,46.35,0.00,0,1,43.24%,06/23/22,335.00,0.03,0.03,0.04,-0.13,67,"4,267",36.46%,07/01/22
